ra,dec
267.83282,67.49849541
267.83532,67.49873157
267.83782,67.49896773
267.84032,67.49920389
267.84282,67.49944004
267.84532,67.4996762
267.84782,67.49991236
267.85032,67.50014852
267.85282,67.50038468
267.85532,67.50062083
267.85782,67.50085699
267.86032,67.50109315
267.86282,67.50132931
267.86532,67.50156547
267.86782,67.50180163
267.87032,67.50203778
267.87282,67.50227394
267.87532,67.5024333
267.87782,67.50258706
267.88032,67.50274082
267.88282,67.50289458
267.88532,67.50304834
267.88782,67.5032021
267.89032,67.50335585
267.89282,67.50350961
267.89532,67.50366337
267.89782,67.50381713
267.90032,67.50397089
267.90282,67.50412465
267.90532,67.50427841
267.90782,67.50443216
267.91032,67.50458592
267.91282,67.50473968
267.91532,67.50489344
267.91782,67.5050472
267.92032,67.50520096
267.92282,67.50535472
267.92532,67.50550847
267.92782,67.50557517
267.93032,67.50562769
267.93282,67.50568022
267.93532,67.50573274
267.93782,67.50578526
267.94032,67.50583778
267.94282,67.50589031
267.94532,67.50594283
267.94782,67.50599535
267.95032,67.50604787
267.95282,67.5061004
267.95532,67.50615292
267.95782,67.50620544
267.96032,67.50625797
267.96282,67.50631049
267.96532,67.50636301
267.96782,67.50641553
267.97032,67.50646806
267.97282,67.50652058
267.97532,67.5065731
267.97782,67.50662563
267.98032,67.50667815
267.98282,67.50673067
267.98532,67.5067749
267.98782,67.50681429
267.99032,67.50685369
267.99282,67.50689308
267.99532,67.50693248
267.99782,67.50697188
268.00032,67.50701127
268.00282,67.50705067
268.00532,67.50709006
268.00782,67.50712946
268.01032,67.50716885
268.01282,67.50720825
268.01532,67.50724764
268.01782,67.50728704
268.02032,67.50732644
268.02282,67.50736583
268.02532,67.50740523
268.02782,67.50744462
268.03032,67.50748402
268.03282,67.50752341
268.03532,67.50756281
268.03782,67.5076022
268.04032,67.5076416
268.04282,67.50768099
268.04532,67.50772039
268.04782,67.50775979
268.05032,67.50779918
268.05282,67.50783858
268.05532,67.50787797
268.05782,67.50791737
268.06032,67.50795676
268.06282,67.50796187
268.06532,67.50794964
268.06782,67.5079374
268.07032,67.50792516
268.07282,67.50791293
268.07532,67.50790069
268.07782,67.50788845
268.08032,67.50787622
268.08282,67.50786398
268.08532,67.50785174
268.08782,67.50783951
268.09032,67.50782727
268.09282,67.50781503
268.09532,67.50780279
268.09782,67.50779056
268.10032,67.50777832
268.10282,67.50776608
268.10532,67.50775385
268.10782,67.50774161
268.11032,67.50772937
268.11282,67.50771714
268.11532,67.5077049
268.11782,67.50769266
268.12032,67.50768043
268.12282,67.50766819
268.12532,67.50765595
268.12782,67.50764372
268.13032,67.50763148
268.13282,67.50761924
268.13532,67.507607
268.13782,67.50759477
268.14032,67.50758253
268.14282,67.50757029
268.14532,67.50761692
268.14782,67.50766499
268.15032,67.50771305
268.15282,67.50776112
268.15532,67.50780919
268.15782,67.50785726
268.16032,67.50790533
268.16282,67.5079534
268.16532,67.50800147
268.16782,67.50804954
268.17032,67.50809761
268.17282,67.50814568
268.17532,67.50819375
268.17782,67.50824182
268.18032,67.50828989
268.18282,67.50833796
268.18532,67.50838603
268.18782,67.50843409
268.19032,67.50848216
268.19282,67.50853023
268.19532,67.5085783
268.19782,67.50862637
268.20032,67.50867444
268.20282,67.50872251
268.20532,67.50877058
268.20782,67.50879
268.21032,67.50879
268.21282,67.50879
268.21532,67.50879
268.21782,67.50879
268.22032,67.50879
268.22282,67.50879
268.22532,67.50879
268.22782,67.50879
268.23032,67.50879
268.23282,67.50879
268.23532,67.50879
268.23782,67.50879
268.24032,67.50879
268.24282,67.50879
268.24532,67.50879
268.24782,67.50879
268.25032,67.50879
268.25282,67.50879
268.25532,67.50879
268.25782,67.50879
268.26032,67.50879
268.26282,67.50879
268.26532,67.50879
268.26782,67.50879
268.27032,67.50879718
268.27282,67.50880819
268.27532,67.5088192
268.27782,67.50883021
268.28032,67.50884122
268.28282,67.50885223
268.28532,67.50886324
268.28782,67.50887425
268.29032,67.50888526
268.29282,67.50889627
268.29532,67.50890728
268.29782,67.50891829
268.30032,67.5089293
268.30282,67.50894031
268.30532,67.50895132
268.30782,67.50896233
268.31032,67.50897334
268.31282,67.50898435
268.31532,67.50899536
268.31782,67.50900637
268.32032,67.50901738
268.32282,67.50902839
268.32532,67.5090394
268.32782,67.50905041
268.33032,67.50906142
268.33282,67.50907243
268.33532,67.50908344
268.33782,67.50909445
268.34032,67.50909207
268.34282,67.50907607
268.34532,67.50906008
268.34782,67.50904408
268.35032,67.50902809
268.35282,67.5090121
268.35532,67.5089961
268.35782,67.50898011
268.36032,67.50896411
268.36282,67.50894812
268.36532,67.50893213
268.36782,67.50891613
268.37032,67.50890014
268.37282,67.50888414
268.37532,67.50886815
268.37782,67.50885216
268.38032,67.50883622
268.38282,67.50882049
268.38532,67.50880476
268.38782,67.50878903
268.39032,67.5087733
268.39282,67.50875757
268.39532,67.50874184
268.39782,67.50872611
268.40032,67.50871038
268.40282,67.50869465
268.40532,67.50867892
268.40782,67.50866318
268.41032,67.50864745
268.41282,67.50863172
268.41532,67.50861599
268.41782,67.50860026
268.42032,67.50858453
268.42282,67.50858043
268.42532,67.50858104
268.42782,67.50858164
268.43032,67.50858225
268.43282,67.50858285
268.43532,67.50858346
268.43782,67.50858406
268.44032,67.50858467
268.44282,67.50858527
268.44532,67.50858588
268.44782,67.50858648
268.45032,67.50858709
268.45282,67.50858769
268.45532,67.5085883
268.45782,67.5085889
268.46032,67.50858951
268.46282,67.50859
268.46532,67.50859
268.46782,67.50859
268.47032,67.50859
268.47282,67.50859
268.47532,67.50859
268.47782,67.50859
268.48032,67.50859
268.48282,67.50859
268.48532,67.50859
268.48782,67.50859
268.49032,67.50859
268.49282,67.50859
268.49532,67.50859
268.49782,67.50859
268.50032,67.50859
268.50282,67.50859
268.50532,67.50859
268.50782,67.50859
268.51032,67.50859
268.51282,67.50859
268.51532,67.50859
268.51782,67.50859
268.52032,67.50859
268.52282,67.50859
268.52532,67.50859
268.52782,67.50859
268.53032,67.50859
268.53282,67.50859
268.53532,67.50859
268.53782,67.50859
268.54032,67.50859
268.54282,67.50859
268.54532,67.50859
268.54782,67.50859
268.55032,67.50859
268.55282,67.50859
268.55532,67.50859
268.55782,67.50859
268.56032,67.50859
268.56282,67.50859
268.56532,67.50859
268.56782,67.50859
268.57032,67.50859
268.57282,67.50859
268.57532,67.50859
268.57782,67.50859
268.58032,67.50859
268.58282,67.50859
268.58532,67.50859
268.58782,67.50859
268.59032,67.50859
268.59282,67.50859
268.59532,67.50859
268.59782,67.50859
268.60032,67.50859
268.60282,67.50859
268.60532,67.50859
268.60782,67.50859
268.61032,67.50859
268.61282,67.50859
268.61532,67.50859
268.61782,67.50859
268.62032,67.50859
268.62282,67.50859
268.62532,67.50859
268.62782,67.50859
268.63032,67.50859
268.63282,67.50859
268.63532,67.50859
268.63782,67.50859
268.64032,67.50859
268.64282,67.50859
268.64532,67.50859
268.64782,67.50858296
268.65032,67.50856843
268.65282,67.50855389
268.65532,67.50853935
268.65782,67.50852481
268.66032,67.50851027
268.66282,67.50849573
268.66532,67.5084812
268.66782,67.50846666
268.67032,67.50845212
268.67282,67.50843758
268.67532,67.50842304
268.67782,67.50840851
268.68032,67.50839397
268.68282,67.50837943
268.68532,67.50836489
268.68782,67.50835035
268.69032,67.50833582
268.69282,67.50832107
268.69532,67.50830619
268.69782,67.50829131
268.70032,67.50827643
268.70282,67.50826155
268.70532,67.50824667
268.70782,67.50823179
268.71032,67.5082169
268.71282,67.50820202
268.71532,67.50818714
268.71782,67.50817226
268.72032,67.50815738
268.72282,67.5081425
268.72532,67.50812762
268.72782,67.50811274
268.73032,67.50809786
268.73282,67.50808298
268.73532,67.50808
268.73782,67.50808
268.74032,67.50808
268.74282,67.50808
268.74532,67.50808
268.74782,67.50808
268.75032,67.50808
268.75282,67.50808
268.75532,67.50808
268.75782,67.50808
268.76032,67.50808
268.76282,67.50808
268.76532,67.50808
268.76782,67.50808
268.77032,67.50808
268.77282,67.50808
268.77532,67.50808
268.77782,67.50808
268.78032,67.50808
268.78282,67.50808
268.78532,67.50808
268.78782,67.50808
268.79032,67.50808
268.79282,67.50808
268.79532,67.50808
268.79782,67.50808
268.80032,67.50808
268.80282,67.50808
268.80532,67.50808
268.80782,67.50808
268.81032,67.50808
268.81282,67.50808
268.81532,67.50808
268.81782,67.50808
268.82032,67.50808
268.82282,67.50808
268.82532,67.50808
268.82782,67.50808
268.83032,67.50808
268.83282,67.50808
268.83532,67.50808
268.83782,67.50808
268.84032,67.50808
268.84282,67.50808
268.84532,67.50808
268.84782,67.50808
268.85032,67.50808
268.85282,67.50808
268.85532,67.50808
268.85782,67.50808
268.86032,67.50808
268.86282,67.50808
268.86532,67.50808
268.86782,67.50808
268.87032,67.50808
268.87282,67.50808
268.87532,67.50808
268.87782,67.50808
268.88032,67.50808
268.88282,67.50808
268.88532,67.50808
268.88782,67.50808
268.89032,67.50808
268.89282,67.50808
268.89532,67.50808
268.89782,67.50808
268.90032,67.50808
268.90282,67.50808
268.90532,67.50808
268.90782,67.50808
268.91032,67.50808
268.91282,67.50808
268.91532,67.50808
268.91782,67.50808
268.92032,67.50808
268.92282,67.50807345
268.92532,67.50805968
268.92782,67.50804591
268.93032,67.50803214
268.93282,67.50801837
268.93532,67.5080046
268.93782,67.50799083
268.94032,67.50797706
268.94282,67.50796329
268.94532,67.50794952
268.94782,67.50793575
268.95032,67.50792198
268.95282,67.50790821
268.95532,67.50789444
268.95782,67.50788067
268.96032,67.5078669
268.96282,67.50785313
268.96532,67.50783936
268.96782,67.50783
268.97032,67.50783
268.97282,67.50783
268.97532,67.50783
268.97782,67.50783
268.98032,67.50783
268.98282,67.50783
268.98532,67.50783
268.98782,67.50783
268.99032,67.50783
268.99282,67.50783
268.99532,67.50783
268.99782,67.50783
269.00032,67.50783
269.00282,67.50783
269.00532,67.50783
269.00782,67.50783
269.00969,67.50808
269.01219,67.50953875
269.01469,67.51099751
269.01719,67.51245626
269.01969,67.51391501
269.02219,67.51537376
269.02469,67.51684532
269.02719,67.51865963
269.02969,67.52047394
269.03219,67.52228825
269.03469,67.52410256
269.03719,67.52591687
269.03969,67.52773118
269.04219,67.52954549
269.04469,67.53165632
269.04719,67.53376954
269.04969,67.53588276
269.05219,67.53799598
269.05469,67.5401092
269.05719,67.54204624
269.05969,67.54357991
269.06219,67.54511358
269.06469,67.54664725
269.06719,67.54818092
269.06969,67.54971459
269.07219,67.55124827
269.07469,67.55278194
269.07719,67.55431561
269.07969,67.5558933
269.08219,67.55749662
269.08469,67.55909994
269.08719,67.56070326
269.08969,67.56230658
269.09219,67.5639099
269.09469,67.56551323
269.09719,67.56711655
269.09969,67.56871987
269.10219,67.57032319
269.10469,67.57192651
269.10719,67.57360612
269.10969,67.57530576
269.11219,67.57700541
269.11469,67.57870506
269.11719,67.5804047
269.11969,67.58210435
269.12219,67.58380363
269.12469,67.58548528
269.12719,67.58716692
269.12969,67.58884856
269.13219,67.59053021
269.13469,67.59221185
269.13719,67.59389349
269.13969,67.59540692
269.14219,67.5968751
269.14469,67.59834327
269.14719,67.59981145
269.14969,67.60127963
269.15219,67.6027478
269.15469,67.60421598
269.15719,67.60568415
269.15969,67.60715233
269.16219,67.60862051
269.16469,67.61008868
269.16719,67.61155686
269.16969,67.61285315
269.17219,67.61403294
269.17469,67.61521273
269.17719,67.61639251
269.17969,67.6175723
269.18219,67.61875209
269.18469,67.61993187
269.18719,67.62111166
269.18969,67.62229145
269.19219,67.62347123
269.19469,67.62477453
269.19719,67.62610134
269.19969,67.62742816
269.20219,67.62875497
269.20469,67.63008179
269.20719,67.6314086
269.20969,67.63273542
269.21219,67.63406223
269.21469,67.63538905
269.21719,67.63671587
269.21969,67.63779118
269.22219,67.63880978
269.22469,67.63982838
269.22719,67.64084698
269.22969,67.64186558
269.23219,67.64288418
269.23469,67.64390278
269.23719,67.64492138
269.23969,67.64593998
269.24219,67.64695858
269.24469,67.64797718
269.24719,67.64899578
269.24969,67.65001438
269.25219,67.65097527
269.25469,67.6517785
269.25719,67.65258174
269.25969,67.65338497
269.26219,67.65418821
269.26469,67.65499144
269.26719,67.65579468
269.26969,67.65659791
269.27219,67.65740115
269.27469,67.65820438
269.27719,67.65900762
269.27969,67.65981085
269.28219,67.66061409
269.28469,67.66159724
269.28719,67.66273868
269.28969,67.66388011
269.29219,67.66502155
269.29469,67.66616298
269.29719,67.66730442
269.29969,67.66844585
269.30219,67.66958729
269.30469,67.67072872
269.30719,67.67187016
269.30969,67.67301159
269.31219,67.67415303
269.31469,67.67539738
269.31719,67.67665577
269.31969,67.67791416
269.32219,67.67917255
269.32469,67.68043094
269.32719,67.68168933
269.32969,67.68294772
269.33219,67.68420611
269.33469,67.6854645
269.33719,67.6867077
269.33969,67.68794993
269.34219,67.68919216
269.34469,67.69043439
269.34719,67.69167662
269.34969,67.69291885
269.35219,67.69416108
269.35469,67.69540331
269.35719,67.69664554
269.35969,67.69788777
269.36219,67.69896174
269.36469,67.69994269
269.36719,67.70092365
269.36969,67.70190461
269.37219,67.70288556
269.37469,67.70386652
269.37719,67.70484748
269.37969,67.70582843
269.38219,67.70680939
269.38469,67.70779035
269.38719,67.7087713
269.38969,67.70975226
269.39219,67.71073322
269.39469,67.71171066
269.39719,67.71265502
269.39969,67.71359938
269.40219,67.71454374
269.40469,67.7154881
269.40719,67.71643246
269.40969,67.71737682
269.41219,67.71832118
269.41469,67.71926554
269.41719,67.7202099
269.41969,67.72115426
269.42219,67.72206258
269.42469,67.72293868
269.42719,67.72381478
269.42969,67.72469088
269.43219,67.72556697
269.43469,67.72644307
269.43719,67.72731917
269.43969,67.72819527
269.44219,67.72907137
269.44469,67.72994747
269.44719,67.73082356
269.44969,67.73167913
269.45219,67.73241652
269.45469,67.7331539
269.45719,67.73389129
269.45969,67.73462868
269.46219,67.73536606
269.46469,67.73610345
269.46719,67.73684083
269.46969,67.73757822
269.47219,67.73831561
269.47469,67.73905299
269.47719,67.73979038
269.47969,67.74052776
269.48219,67.74126515
269.48469,67.74200254
269.48719,67.74274424
